DataSize,Threads,Time(s)
10000,1,0.000000
10000,2,0.003000
10000,4,0.002000
10000,8,0.001000
50000,1,0.001000
50000,2,0.001000
50000,4,0.003000
50000,8,0.005000
100000,1,0.002000
100000,2,0.004000
100000,4,0.004000
100000,8,0.003000
500000,1,0.004000
500000,2,0.003000
500000,4,0.015000
500000,8,0.032000
1000000,1,0.007000
1000000,2,0.018000
1000000,4,0.037000
1000000,8,0.060000
