DataSize,Threads,Time(s)
10000,1,0.000000
10000,2,0.001000
10000,4,0.001000
10000,8,0.001000
40000,1,0.000000
40000,2,0.001000
40000,4,0.000000
40000,8,0.001000
90000,1,0.000000
90000,2,0.000000
90000,4,0.000000
90000,8,0.000000
160000,1,0.000000
160000,2,0.000000
160000,4,0.001000
160000,8,0.001000
250000,1,0.001000
250000,2,0.001000
250000,4,0.001000
250000,8,0.002000
